document_id,valid_json,precision,recall,f1
25589620,True,0.5254237288135594,0.5961538461538461,0.5585585585585586
15086325,True,1.0,0.65,0.787878787878788
19300402,True,0.8085106382978723,0.7307692307692307,0.7676767676767676
24288432,True,0.7931034482758621,0.5609756097560976,0.6571428571428573
28259923,True,0.5416666666666666,0.3170731707317073,0.39999999999999997
16000134,True,0.5,0.6111111111111112,0.55
16225977,True,0.7727272727272727,0.68,0.7234042553191491
20859899,True,0.26666666666666666,0.18181818181818182,0.21621621621621623
15041272,True,0.3448275862068966,0.3225806451612903,0.33333333333333337
17395743,True,0.9285714285714286,0.7222222222222222,0.8125000000000001
27729412,True,0.625,0.5,0.5555555555555556
29183288,True,0.4457831325301205,0.5522388059701493,0.49333333333333335
20959502,True,0.6060606060606061,0.45454545454545453,0.5194805194805195
20682662,True,0.7894736842105263,0.3,0.4347826086956521
23285048,True,0.3728813559322034,0.5365853658536586,0.44
27663860,True,0.7586206896551724,0.7213114754098361,0.7394957983193277
27807193,True,0.47058823529411764,0.34782608695652173,0.39999999999999997
15069170,True,0.5135135135135135,0.41304347826086957,0.4578313253012048
17397547,True,0.85,0.4857142857142857,0.6181818181818183
17445520,True,0.65625,0.45652173913043476,0.5384615384615383
23651211,True,0.2608695652173913,0.32142857142857145,0.28800000000000003
15991002,True,0.9642857142857143,0.7714285714285715,0.8571428571428572
16565833,True,0.8863636363636364,0.8863636363636364,0.8863636363636365
16867021,True,0.85,0.7083333333333334,0.7727272727272727
17042884,True,0.918918918918919,0.5151515151515151,0.6601941747572816
17151160,True,0.9117647058823529,0.9117647058823529,0.9117647058823528
17255138,True,0.7857142857142857,0.6,0.6804123711340206
17297207,True,0.875,0.4444444444444444,0.5894736842105263
17384765,True,0.75,0.41379310344827586,0.5333333333333333
17608141,True,0.7777777777777778,0.6,0.6774193548387097
18162529,True,0.6071428571428571,0.3090909090909091,0.40963855421686746
18308784,True,0.8484848484848485,0.8,0.823529411764706
18951540,True,0.625,0.5555555555555556,0.5882352941176471
19759529,True,0.75,0.6521739130434783,0.6976744186046512
19914299,False,0.0,0.0,0.0
20621845,True,0.6341463414634146,0.5098039215686274,0.5652173913043477
23872883,True,0.5789473684210527,0.3235294117647059,0.4150943396226416
24333387,True,0.6041666666666666,0.6304347826086957,0.6170212765957447
24438483,True,0.9428571428571428,0.8048780487804879,0.868421052631579
25119790,True,0.4411764705882353,0.35714285714285715,0.3947368421052631
